cik,entityName,companyFact,end,val,accn,fy,fp,form,filed,units,company
320193,Apple Inc.,Assets,2008-09-27,39572000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,Assets,2008-09-27,36171000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,Assets,2009-09-26,53851000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,Assets,2009-09-26,47501000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,Assets,2009-09-26,47501000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,Assets,2010-09-25,75183000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,Assets,2010-09-25,75183000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,Assets,2011-09-24,116371000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,Assets,2011-09-24,116371000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,Assets,2012-09-29,176064000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,Assets,2012-09-29,176064000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,Assets,2013-09-28,207000000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,Assets,2013-09-28,207000000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,Assets,2014-09-27,231839000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,Assets,2014-09-27,231839000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,Assets,2015-09-26,290479000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,Assets,2015-09-26,290345000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,Assets,2016-09-24,321686000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,Assets,2016-09-24,321686000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,Assets,2017-09-30,375319000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,Assets,2017-09-30,375319000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,Assets,2018-09-29,365725000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,Assets,2018-09-29,365725000000,0000320193-19-000119,2019,FY,10-K,2019-10-31,USD,APPLE
320193,Apple Inc.,Assets,2019-09-28,338516000000,0000320193-19-000119,2019,FY,10-K,2019-10-31,USD,APPLE
320193,Apple Inc.,Assets,2019-09-28,338516000000,0000320193-20-000096,2020,FY,10-K,2020-10-30,USD,APPLE
320193,Apple Inc.,Assets,2020-09-26,323888000000,0000320193-20-000096,2020,FY,10-K,2020-10-30,USD,APPLE
320193,Apple Inc.,Assets,2020-09-26,323888000000,0000320193-21-000105,2021,FY,10-K,2021-10-29,USD,APPLE
320193,Apple Inc.,Assets,2021-09-25,351002000000,0000320193-21-000105,2021,FY,10-K,2021-10-29,USD,APPLE
320193,Apple Inc.,Assets,2021-09-25,351002000000,0000320193-22-000108,2022,FY,10-K,2022-10-28,USD,APPLE
320193,Apple Inc.,Assets,2022-09-24,352755000000,0000320193-22-000108,2022,FY,10-K,2022-10-28,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2008-09-27,32311000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2009-09-26,36265000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2009-09-26,31555000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2010-09-25,41678000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2010-09-25,41678000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2011-09-24,44988000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2011-09-24,44988000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2012-09-29,57653000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2012-09-29,57653000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2013-09-28,73286000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2013-09-28,73286000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2014-09-27,68531000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2014-09-27,68531000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2015-09-26,89378000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
